,Date,Positive,Negative
0,20200101,187,335
1,20200107,179,341
2,20200114,188,332
3,20200121,202,311
4,20200201,172,333
5,20200207,224,279
6,20200214,200,312
7,20200221,171,342
8,20200301,224,288
9,20200307,198,312
10,20200314,207,303
11,20200321,223,283
12,20200401,208,310
13,20200407,223,291
14,20200414,199,316
15,20200421,193,316
16,20200501,204,299
17,20200507,235,266
18,20200514,195,311
19,20200521,199,316
20,20200601,220,286
21,20200607,205,295
22,20200614,202,310
23,20200621,189,311
24,20200701,159,348
25,20200707,175,332
26,20200714,194,314
27,20200721,175,330
28,20200801,191,307
29,20200807,190,319
30,20200814,140,368
31,20200821,178,331
32,20200901,217,292
33,20200907,199,307
34,20200914,205,300
35,20200921,209,297
36,20201001,178,327
37,20201007,201,298
38,20201014,204,305
39,20201021,202,303
40,20201101,193,305
41,20201107,216,288
42,20201114,224,281
43,20201121,189,319
44,20201201,228,279
45,20201207,198,313
46,20201214,206,302
47,20201221,200,314
48,20210101,172,343
49,20210107,230,278
50,20210114,223,282
51,20210121,189,312
52,20210201,176,327
53,20210207,207,293
54,20210214,192,314
55,20210221,216,294
56,20210301,188,320
57,20210307,196,306
58,20210314,192,312
59,20210321,225,284
60,20210401,187,322
61,20210407,196,309
62,20210414,192,308
63,20210421,165,340
64,20210501,145,361
65,20210507,195,312
66,20210514,220,288
67,20210521,171,331
68,20210601,138,375
69,20210607,204,302
70,20210614,125,384
71,20210621,171,337
72,20210701,152,354
73,20210707,166,348
74,20210714,177,328
75,20210721,160,348
76,20210801,177,326
77,20210807,155,348
78,20210814,165,349
79,20210821,163,354
80,20210901,152,357
81,20210907,151,354
82,20210914,162,343
83,20210921,110,399
84,20211001,155,353
85,20211007,156,354
86,20211014,160,346
87,20211021,160,346
