,date,total,m_total,m0-9,m10-19,m20-29,m30-39,m40-49,m50-59,m60-69,m70-79,m80-,f_total,f0-9,f10-19,f20-29,f30-39,f40-49,f50-59,mf0-69,f70-79,f80-
0,2018-12,1213604,487472,3459,17083,62042,59435,81851,85590,88392,66490,23129,726132,1117,14391,52559,79135,107095,137586,158716,118962,56569
1,2019-01,1338840,506034,2349,19066,55786,61805,82148,95192,85832,74750,29105,832807,1305,17143,58417,100354,109126,161063,186458,140134,58806
2,2019-02,1107497,431718,2829,15679,47889,52237,77164,76079,75632,62804,21407,675779,890,16329,52096,75302,82973,135417,145913,113689,53168
3,2019-03,1247020,495190,3108,18549,54081,59121,80816,83668,96322,75045,24481,751829,902,17742,60275,81741,99610,147031,156780,132879,54870
4,2019-04,1349472,531141,3771,22438,58339,60920,94514,95557,98272,69305,28026,818331,1493,20652,70533,95657,99413,151674,171854,140325,66729
5,2019-05,1377033,539669,4995,23272,73696,68318,80896,90494,93710,77025,27261,837364,2361,23548,71385,94955,116415,153612,168359,131970,74758
6,2019-06,1281309,504295,3741,21700,61173,63047,81446,86408,89589,67723,29468,777015,1362,22327,75292,92741,109980,143974,156625,116265,58448
7,2019-07,1473998,561443,3129,23160,59763,74988,86311,107036,99102,78984,28970,912555,2203,26765,86978,110413,130389,158646,192854,132405,71901
8,2019-08,1336912,519418,3310,21491,60401,69309,88221,94560,89266,67533,25328,817494,2185,27544,78673,97077,120216,150885,164537,119492,56886
9,2019-09,1302039,500213,3285,22285,57200,65278,82772,98510,81404,64713,24766,801826,1641,23972,75538,90461,114156,148005,167875,121225,58952
10,2019-10,1383293,531218,4545,25966,65153,63427,86946,99649,87064,71014,27455,852075,2182,28705,91327,92677,118456,154841,173782,130518,59588
11,2019-11,1304543,509762,2611,23254,59737,64067,88549,93821,82913,67446,27363,794781,1916,27151,85456,89083,108618,141190,165065,119723,56578
12,2019-12,1357844,539794,2704,21066,66499,78397,81485,107026,87644,69500,25472,818051,2551,21310,92855,98822,114553,144781,158206,129607,55364
13,2020-01,1358693,529185,2422,20794,59941,69190,88259,96042,95505,69117,27916,829507,1695,23052,85277,92355,107292,147822,174832,130615,66568
14,2020-02,1313374,513690,2715,22532,57268,69122,83028,93504,90051,68401,27069,799684,1286,33670,81960,92045,105643,139855,170252,119888,55086
15,2020-03,1364152,545741,2042,23172,61277,72104,87955,101793,95235,69593,32570,818411,2037,21664,87478,92365,113202,139960,180943,129678,51083
16,2020-04,1398514,540863,2047,22897,65090,74450,86121,101362,94123,67435,27337,857651,2305,24013,87664,99251,114331,145828,184623,133764,65873
17,2020-05,1504754,570137,1565,27555,68762,78835,91169,97105,101415,68876,34854,934617,2564,28467,103457,109224,132515,150792,193273,136326,77999
18,2020-06,1564286,583719,3334,29628,75489,77622,101702,97288,95456,73051,30149,980566,3082,34372,118805,117175,131289,165995,185669,135244,88936
19,2020-07,1594160,610288,3565,33699,80847,87937,97211,103234,100498,71219,32076,983872,2872,35354,116336,123792,137704,164624,189646,145039,68505
20,2020-08,1454819,566856,1909,34268,72618,77198,91210,105244,89852,64657,29900,887963,2247,33269,106003,106588,127278,148772,166330,137640,59836
21,2020-09,1608038,614807,3763,36512,79206,80325,95918,98216,108216,75147,37505,993231,3679,33376,124772,119634,135197,159565,192079,145183,79745
22,2020-10,1463746,554131,2943,29682,78835,76196,86852,89152,93848,68247,28378,909615,4254,33851,108970,111094,121156,151892,175359,144772,58266
23,2020-11,1519567,578784,3683,31164,80277,80643,90331,99891,92589,70888,29319,940783,4182,33835,119989,121596,129985,146743,193412,134931,56111
24,2020-12,1585921,595016,2488,29908,79747,81977,93541,102968,104654,70009,29726,990905,4676,36045,127008,123299,136496,159606,204512,140374,58888
25,2021-01,1573039,588881,2364,27057,82923,82804,91050,94425,92144,74393,41719,984159,5465,36015,127627,120231,132551,148028,215321,141379,57541
26,2021-02,1522688,563250,2949,25810,74659,77552,91699,95947,96828,70076,27730,959438,2547,28410,127246,115299,125298,146433,210326,143143,60737
27,2021-03,1829187,687077,4464,32333,98310,99018,107674,104295,112662,91786,36536,1142109,5271,43118,156511,139887,151573,176594,233411,165192,70552
